"company_name","account_type","owner","phone","website"
Medisch Spectrum Twente,0,,,
A.Pacione AeCTech srls,0,,,
Aalberts Industries,0,,,
ABAB,0,,,
ABN AMRO Corporate Headquarters,0,,,
ACCUREC NEDERLAND BV,0,,,
ACE Options,0,,,
Aces Direct,0,,,
Achmea,0,,,
ADCbit,0,,,
Adecco Group,0,,,
ADi Audiovisual Ltd,0,,,
ADT Trade International,0,,,
Advanced Digital Dynamics Ltd.,0,,,
Advisor,0,,,
ADVISOR ICT SOLUTIONS,0,,,
Adyen,0,,,
Aebi Schmidt,0,,,
Aegon ,0,,,
AFAS Software,0,,,
AFS Group,0,,,
AG Training 1,0,,,
AGR.IT srl,0,,,
Ahold koninklijke N.V.,0,,,
AITITECH LTD,0,,,
AKDP Advocaten,0,,,
AkzoNobel,0,,,
Albert Schweitzer Ziekenhuis,0,,,
albron BV,0,,,
Alexander Moor IT-SERVICE,0,,,
Alfanet S.A.,0,,,
Alfen,0,,,
Aliter Networks,0,,,
ALL in TRADE Israel LTD.,0,,,
Allen & Overy LLP,0,,,
Allen en Overy ,0,,,
Alliander,0,,,
Allround Job,0,,,
Aloysius Stichting,0,,,
Alpha-Dox,0,,,
Alpina Group,0,,,
Alturna Networks,0,,,
Amazon EU S.à r.l,0,,,
AmbaFlex ,0,,,
AMOLF,0,,,
Amvest,0,,,
Antonius Ziekenhuis,0,,,
ANVA BV,0,,,
APG,0,,,
Arag SE Nederland,0,,,
Arbo Unie,0,,,
Arg123454,0,,,
ARGO Training LTD,0,,,
Argo360,0,,,
argotestervj,0,,,
Arie Keijzer,0,,,
Arousa Digital    (Carre Olivier Jean Claude),0,,,
ARP Solutions,0,,,
ARTENAX IMPORT-EXPORT,0,,,
Arup,0,,,
AS Watson,0,,,
Asito,0,,,
ASM Technologies Ltd,0,,,
AstraZeneca,0,,,
AtomITAD,0,,,
Avensus,0,,,
Axians,0,,,
Azalea Global IT AB,0,,,
AZTEC GLOBAL SOLUTIONS,0,,,
Balieaccount,0,,,
Ballast Nedam,0,,,
BAM bouw & vastgoed ,0,,,
Banque Chaabi Du Maroc,0,,,
Basis Orange,0,,,
Bayer,0,,,
BCC,0,,,
BCS HRM en Salarisadministratie,0,,,
Berenschot,0,,,
Between staffing,0,,,
Bibliotheek Utrecht,0,,,
Bibliotheek Zuid Kennemerland (BZK) ,0,,,
Bidfood,0,,,
BINX Smartility,0,,,
Bircon Networks,0,,,
BK Elektro,0,,,
blenderz events,0,,,
Blue Shell B.V.,0,,,
BMP ,0,,,
BOL d.o.o.,0,,,
Bol.com,0,,,
Bouwmaat,0,,,
Brainnet,0,,,
Bravis Ziekenhuis,0,,,
Bravo Networking BV,0,,,
Breedweer,0,,,
Breinstein ,0,,,
Brocacef,0,,,
Brunel International NV,0,,,
Buckaroo B.V.,0,,,
C&A Nederland C.V.,0,,,
C&D BrokSolutions S.L.,0,,,
C. Steinweg - Handelsveem B.V.,0,,,
CAMEO COMPUTER SERVICES UK Ltd.,0,,,
camera-tweedehands,0,,,
Cannock ,0,,,
Canon Nederland N.V.,0,,,
C-Enter BV,0,,,
Centric,0,,,
CEVA Freight,0,,,
CEVA Logistics Belgium N.V.,0,,,
CEVA Logistics Headoffice BV,0,,,
CEVA Logistics Netherlands BV,0,,,
Channel-C Ltd,0,,,
Clarion Communication Systems Ltd,0,,,
Cleanlease,0,,,
Cloudwise,0,,,
CMS,0,,,
Codeo - SARL RHONE TRADING,0,,,
Cofra Holding,0,,,
Columbia Threadneedle Netherlands B.V. ,0,,,
Commerze-IT,0,,,
Company Connect,0,,,
Comptest Polska Sp. z o.o.,0,,,
Compu-Factory,0,,,
COMPULEASE S.L,0,,,
Computer Lease Nederland B.V.,0,,,
CompuTrade Luxembourg Sàrl,0,,,
Computron (ΚΑΤΣΙΑΠΗΣ ΖΗΣΟΣ ΑΝΔ ),0,,,
Comtek Communications BV,0,,,
Comtek Network Systems (UK) Ltd,0,,,
Comtrade Krzysztof Mazgaj,0,,,
Concentrix,0,,,
Conclusion,0,,,
Conclusion BV,0,,,
Consolid Uitzendbureau,0,,,
CONTROL HOUSE INTL,0,,,
Covenco UK Ltd,0,,,
CTI Trading BV,0,,,
Cubitel SL,0,,,
curatoren van Amsterdam Trade Bank N.V.,0,,,
Cybertrading GmbH,0,,,
Cygnus Gymnasium,0,,,
CZ Groep / zorgverzekeraar,0,,,
Daaf Geluk,0,,,
DATA-PART LIMITED,0,,,
Datatek Ltd,0,,,
DB Cargo Nederland,0,,,
De Volksbank,0,,,
Dell BV,0,,,
Deloitte accountants B.V.,0,,,
Delta Fiber,0,,,
Dexlab,0,,,
DHS - Direct Hardware Supply,0,,,
Divitel Financial Services BV,0,,,
DizzCo IT Distribution,0,,,
DOL Service - Dorota Dolata,0,,,
DPG Media,0,,,
Dragon Computer Remarketing Ltd,0,,,
DSP-groep,0,,,
DSV,0,,,
DTC INTERNATIONAL LIMITED,0,,,
Dunea,0,,,
Duo Plus,0,,,
Dutch Flower Group,0,,,
Dutchwyse B.V.,0,,,
Dynniq,0,,,
Eastman Chemical EMEA B.V. ,0,,,
EASY HARDWARE TRADING B.V.,0,,,
EDSN,0,,,
Electronic Arts Inc EA ,0,,,
Elektor International Media,0,,,
Eneco ,0,,,
Enexis,0,,,
Engie services,0,,,
Enovation,0,,,
EquensWordline,0,,,
ERIKS N.V,0,,,
Ernst & Young,0,,,
ERTG vastgoed,0,,,
ESO (Elias Soft- en Hardware ONtwikkeling),0,,,
ESphere Network GmbH,0,,,
Essentra Components,0,,,
Estunt.nl,0,,,
EuroCCP,0,,,
Eurocept homecare ,0,,,
Eurofiber,0,,,
EURONETIX,0,,,
Euronext,0,,,
European Central Counterparty N.V.,0,,,
European Computer Telecoms BV,0,,,
European Hardware Solutions B.V.,0,,,
European Network Services SARL,0,,,
EVERNEX,0,,,
Evident,0,,,
Extron Europe,0,,,
Facilicom Group,0,,,
Falmant Global Resources S.L.,0,,,
FastForwardIT (FFIT),0,,,
Feenstra NV,0,,,
Financial Services BV,0,,,
Fletcher Hotels,0,,,
Flevo Ziekenhuis,0,,,
Flora Borne,0,,,
Fokker,0,,,
Fonq,0,,,
FourPoints Business Intelligence,0,,,
Freek Alewijn,0,,,
FTC,0,,,
Fugro,0,,,
Fujitsu Nederland,0,,,
Fysiotherapie Gezondheidscentrum Kerkelanden,0,,,
G4S Nederland,0,,,
