"company_name","account_type","owner","phone","website"
Coolblue,0,Dylan Klein,+31698888888,https://www.coolblue.nl
EQUINIX,0,Victor Jansma,+31612345678,https://www.equinix.nl
TU Delft,0,,,
iTAD Solutions,0,,,
NS Reizigers,0,,,
ARP Solutions,0,,,
Argo360,0,,,
G4S Nederland,0,,,
KOcycle,0,,,
NRC Media,0,,,
Intertrust Group,0,,,
Spaarne Gasthuis,0,,,
Socia ICT,0,,,
m-Wize-IT,0,,,
Hakkers civil engineering,0,,,
Allround Job,0,,,
ABAB,0,,,
Universiteit Utrecht,0,,,
Delta Fiber,0,,,
Asito,0,,,
Telindus,0,,,
Alfen,0,,,
SODEXO,0,,,
DPG Media,0,,,
Van Oord Dredging and Marine contractors bv.,0,,,
Royal IHC,0,,,
ZAAM Interconfessioneel Voortgezet Onderwijs,0,,,
KBK Bouwgroep,0,,,
Restaurant Company Europe (RCE),0,,,
Flevo Ziekenhuis,0,,,
UW,0,,,
WPG uitgevers,0,,,
ADVISOR ICT SOLUTIONS,0,,,
PON,0,,,
Stichting PCOU,0,,,
HEMA,0,,,
LeasePlan Nederland N.V.,0,,,
Pinkroccade,0,,,
TIP Europe,0,,,
Avensus,0,,,
Brunel International NV,0,,,
U-Stal,0,,,
Waternet,0,,,
Reade medisch center,0,,,
Lokalis,0,,,
Spotta,0,,,
Nuts Groep,0,,,
Tourismgroup,0,,,
Feenstra NV,0,,,
Columbia Threadneedle Netherlands B.V.,0,,,
Duo Plus,0,,,
Pon Dealer Groep,0,,,
Extron Europe,0,,,
IT Asset Management Group,0,,,
Huisartsenpraktijk Lage Zwaluwe,0,,,
GGD Amsterdam,0,,,
Mobis Parts Europe N.V.,0,,,
Buckaroo B.V.,0,,,
RAI Amsterdam,0,,,
Eastman Chemical EMEA B.V.,0,,,
KPMG Meijburg & Co,0,,,
Greenpeace International,0,,,
Switch IT,0,,,
CMS,0,,,
Vesting Finance,0,,,
Hutchison Ports ECT Rotterdam,0,,,
Stella Fietsen BV,0,,,
InsingerGilissen,0,,,
ICS,0,,,
Visolity,0,,,
MCX Administration Services BV,0,,,
Stolt Nielsen,0,,,
NEP Media Solutions BV,0,,,
Tonino Advocaten,0,,,
Divitel Financial Services BV,0,,,
Amvest,0,,,
AMOLF,0,,,
Worley Europe,0,,,
Stichting Zorgring,0,,,
Spliethoff Group,0,,,
Novadic-Kentron,0,,,
Stichting Leergeld Utrecht,0,,,
Schoeller Allibert Services B.V,0,,,
Tebovisie,0,,,
GREEN EARTH LTD,0,,,
LeanAds,0,,,
Teva Pharmaceutical Industries Ltd,0,,,
WEPROCEED,0,,,
Cofra Holding,0,,,
Stichting Wakker Dier,0,,,
Quin dokters,0,,,
Lidl Belgium GmbH & Co. KG,0,,,
IBN,0,,,
BMP,0,,,
Quin Dokters Amsterdam BV,0,,,
Rijksmuseum,0,,,
ESO (Elias Soft- en Hardware ONtwikkeling),0,,,
Koopman International,0,,,
Wacker Biotech BV,0,,,
Visma Idella,0,,,
Bibliotheek Zuid Kennemerland (BZK),0,,,
ULC Groep b.v.,0,,,
Limor,0,,,
Treant Zorggroep,0,,,
CEVA Logistics Netherlands BV,0,,,
Transfer Solutions,0,,,
Geckotools,0,,,
FastForwardIT (FFIT),0,,,
INBO,0,,,
DSP-groep,0,,,
Semsys,0,,,
IT Guru,0,,,
Balieaccount,0,,,
Computer Lease Nederland B.V.,0,,,
Mediacollege Amsterdam,0,,,
Nederlands Diensten Centrum voor ICT BV,0,,,
FourPoints Business Intelligence,0,,,
Tandartspraktijk van Gorp,0,,,
Heinen & Hopman,0,,,
Essentra Components,0,,,
VeldhovenGroup,0,,,

